seller_id,seller_name,seller_address,seller_email,seller_phone
1,XYZ,bangalore,xyz@gmail.com,78932-47246
2,Anitha,bangalore,Anitha@gmail.com,95324-16789
3,Raju,Mumbai,raju@gmail.com,89765-45632
4,Shwetha,Chennai,shwetha@gmail.com,90123-65478
5,Rakesh,Hyderbad,rakesh@gmail.com,98453-09234
6,Krishna,bangalore,krishna@gmail.com,92631-89045
7,Maharshi,Mumbai,maharshi@gmail.com,90123-56782
8,Ananda,bangalore,ananda@gmail.com,89765-34210
9,Akshar,bangalore,akshar@gmail.com,89023-78132
10,Chandrashekar,Hyderbad,chandu@gmail.com,98012-54671
